File Path,Line Number,Found in Function,Assert Statement Type,Oracle Argument Position,Differential Function Line Number,Differential Test Function
kernel_tests\aggregate_ops_test.py,69,testAddN,assertAllClose,1,66,np.sum
kernel_tests\aggregate_ops_test.py,83,testUnknownShapes,assertAllClose,1,80,np.sum
kernel_tests\aggregate_ops_test.py,83,testUnknownShapes,assertAllClose,2,79,sess.run
kernel_tests\array_ops_test.py,172,CheckVersusNumpy,assertAllClose,1,159,
kernel_tests\array_ops_test.py,172,CheckVersusNumpy,assertAllClose,1,161,
kernel_tests\array_ops_test.py,172,CheckVersusNumpy,assertAllClose,1,163,
kernel_tests\array_ops_test.py,172,CheckVersusNumpy,assertAllClose,2,164,array_ops.boolean_mask
kernel_tests\array_ops_test.py,217,testEmptyInput2D,assertAllClose,1,213,
kernel_tests\array_ops_test.py,217,testEmptyInput2D,assertAllClose,2,214,array_ops.boolean_mask
kernel_tests\array_ops_test.py,226,testEmptyInput1D,assertAllClose,1,222,
kernel_tests\array_ops_test.py,226,testEmptyInput1D,assertAllClose,2,223,array_ops.boolean_mask
kernel_tests\array_ops_test.py,1664,testAxis,assertAllClose,2,1645,self._scale_per_slice
kernel_tests\atrous_conv2d_test.py,84,testAtrousConv2DForward,assertAllClose,1,81,nn_ops.atrous_conv2d
kernel_tests\atrous_conv2d_test.py,84,testAtrousConv2DForward,assertAllClose,2,82,nn_ops.conv2d
kernel_tests\atrous_conv2d_test.py,137,testAtrousSequence,assertAllClose,1,125,nn_ops.atrous_conv2d
kernel_tests\atrous_conv2d_test.py,137,testAtrousSequence,assertAllClose,1,126,nn_ops.atrous_conv2d
kernel_tests\atrous_conv2d_test.py,137,testAtrousSequence,assertAllClose,1,127,nn_ops.atrous_conv2d
kernel_tests\atrous_conv2d_test.py,137,testAtrousSequence,assertAllClose,2,132,array_ops.space_to_batch
kernel_tests\atrous_conv2d_test.py,137,testAtrousSequence,assertAllClose,2,133,nn_ops.conv2d
kernel_tests\atrous_conv2d_test.py,137,testAtrousSequence,assertAllClose,2,134,nn_ops.conv2d
kernel_tests\atrous_conv2d_test.py,137,testAtrousSequence,assertAllClose,2,135,nn_ops.conv2d
kernel_tests\atrous_conv2d_test.py,137,testAtrousSequence,assertAllClose,2,136,array_ops.batch_to_space
kernel_tests\atrous_conv2d_test.py,162,testGradient,assertLess,1,157,gradient_checker.compute_gradient_error
kernel_tests\atrous_conv2d_test.py,162,testGradient,assertLess,2,161,
kernel_tests\atrous_conv2d_test.py,201,testAtrousConv2DTransposeForward,assertAllClose,1,197,nn_ops.atrous_conv2d_transpose
kernel_tests\atrous_conv2d_test.py,201,testAtrousConv2DTransposeForward,assertAllClose,2,199,nn_ops.conv2d_transpose
kernel_tests\atrous_conv2d_test.py,229,testAtrousDepthwiseConv2DForward,assertAllClose,1,226,nn_impl.depthwise_conv2d
kernel_tests\atrous_conv2d_test.py,229,testAtrousDepthwiseConv2DForward,assertAllClose,2,228,nn_impl.depthwise_conv2d
kernel_tests\atrous_convolution_test.py,265,_test_gradient,assertLess,1,262,gradient_checker.compute_gradient_error
kernel_tests\atrous_convolution_test.py,265,_test_gradient,assertLess,2,264,UNSUPPORTED Constant
kernel_tests\attention_ops_test.py,105,_VerifyValues,assertLessEqual,2,100,max
kernel_tests\attention_ops_test.py,107,_VerifyValues,assertLessEqual,2,100,max
kernel_tests\basic_gpu_test.py,100,_compare,assertAllClose,1,95,np_func
kernel_tests\basic_gpu_test.py,153,testFloorDivide,assertAllClose,1,144,np.floor_divide
kernel_tests\basic_gpu_test.py,175,_compareGpu,assertAllClose,1,169,np_func
kernel_tests\batch_matmul_op_test.py,76,_compare,assertAllClose,2,75,self._npBatchMatmul
kernel_tests\batch_scatter_ops_test.py,80,_VariableRankTest,assertAllClose,1,73,variables.Variable
kernel_tests\batch_scatter_ops_test.py,80,_VariableRankTest,assertAllClose,2,69,old.copy
kernel_tests\betainc_op_test.py,60,_testBetaInc,assertAllCloseAccordingToType,1,53,special.betainc
kernel_tests\betainc_op_test.py,69,_testBetaInc,assertAllCloseAccordingToType,1,68,special.betainc
kernel_tests\betainc_op_test.py,69,_testBetaInc,assertAllCloseAccordingToType,2,67,eval
kernel_tests\betainc_op_test.py,189,testBetaIncGrads,assertLess,1,186,gradient_checker.compute_gradient_error
kernel_tests\betainc_op_test.py,189,testBetaIncGrads,assertLess,1,195,gradient_checker.compute_gradient_error
kernel_tests\betainc_op_test.py,189,testBetaIncGrads,assertLess,2,176,UNSUPPORTED Constant
kernel_tests\betainc_op_test.py,198,testBetaIncGrads,assertLess,1,186,gradient_checker.compute_gradient_error
kernel_tests\betainc_op_test.py,198,testBetaIncGrads,assertLess,1,195,gradient_checker.compute_gradient_error
kernel_tests\betainc_op_test.py,198,testBetaIncGrads,assertLess,2,176,UNSUPPORTED Constant
kernel_tests\bias_op_base.py,57,_testBias,assertAllCloseAccordingToType,1,54,self._npBias
kernel_tests\bincount_op_test.py,554,test_ragged_bincount_count_with_weights,assertAllClose,1,551,
kernel_tests\candidate_sampler_ops_test.py,128,draw,allclose,1,128,UNSUPPORTED Name (named variable or defined function: draw)
kernel_tests\candidate_sampler_ops_test.py,128,draw,allclose,2,128,UNSUPPORTED Name (named variable or defined function: draw)
kernel_tests\cast_op_test.py,110,testBfloat16,assertAllClose,1,107,astype
kernel_tests\cast_op_test.py,113,testBfloat16,assertAllClose,1,107,astype
kernel_tests\checkpoint_ops_test.py,196,test_load_and_remap_with_init,assertAllClose,1,192,np.reshape
kernel_tests\clip_ops_test.py,47,testClipByValueGradient,assertLess,1,45,gradient_checker.compute_gradient_error
kernel_tests\clip_ops_test.py,51,testClipByValueGradient,assertLess,1,49,gradient_checker.compute_gradient_error
kernel_tests\clip_ops_test.py,62,testClipByValue,assertAllClose,1,57,
kernel_tests\clip_ops_test.py,84,testClipByValue0Type,assertAllClose,1,78,
kernel_tests\clip_ops_test.py,107,testClipByValue1Type,assertAllClose,1,100,
kernel_tests\clip_ops_test.py,130,testClipByValue2Type,assertAllClose,1,123,
kernel_tests\clip_ops_test.py,154,testClipByValue3Type,assertAllClose,1,146,
kernel_tests\clip_ops_test.py,175,testClipByValueNonFinite,assertAllClose,1,170,
kernel_tests\clip_ops_test.py,225,testClipByNormClipped,assertAllClose,1,217,
kernel_tests\clip_ops_test.py,226,testClipByNormClipped,assertAllClose,1,217,
kernel_tests\clip_ops_test.py,254,testClipByNormNotClipped,assertAllClose,1,249,
kernel_tests\clip_ops_test.py,266,testClipByNormZero,assertAllClose,1,261,
kernel_tests\clip_ops_test.py,278,testClipByNormClippedWithDim0,assertAllClose,1,273,
kernel_tests\clip_ops_test.py,290,testClipByNormClippedWithDim1,assertAllClose,1,285,
kernel_tests\clip_ops_test.py,302,testClipByNormNotClippedWithAxes,assertAllClose,1,297,
kernel_tests\clip_ops_test.py,324,testClipByGlobalNormClipped,assertAllClose,1,315,
kernel_tests\clip_ops_test.py,324,testClipByGlobalNormClipped,assertAllClose,2,319,eval
kernel_tests\clip_ops_test.py,325,testClipByGlobalNormClipped,assertAllClose,1,316,
kernel_tests\clip_ops_test.py,325,testClipByGlobalNormClipped,assertAllClose,2,320,eval
kernel_tests\clip_ops_test.py,346,testClipByGlobalNormClippedTensor,assertAllClose,1,337,
kernel_tests\clip_ops_test.py,346,testClipByGlobalNormClippedTensor,assertAllClose,2,341,eval
kernel_tests\clip_ops_test.py,347,testClipByGlobalNormClippedTensor,assertAllClose,1,338,
kernel_tests\clip_ops_test.py,347,testClipByGlobalNormClippedTensor,assertAllClose,2,342,eval
kernel_tests\clip_ops_test.py,370,testClipByGlobalNormSupportsNone,assertAllClose,1,359,
kernel_tests\clip_ops_test.py,370,testClipByGlobalNormSupportsNone,assertAllClose,2,365,eval
kernel_tests\clip_ops_test.py,371,testClipByGlobalNormSupportsNone,assertAllClose,1,360,
kernel_tests\clip_ops_test.py,371,testClipByGlobalNormSupportsNone,assertAllClose,2,366,eval
kernel_tests\clip_ops_test.py,393,testClipByGlobalNormWithIndexedSlicesClipped,assertAllClose,1,384,
kernel_tests\clip_ops_test.py,394,testClipByGlobalNormWithIndexedSlicesClipped,assertAllClose,1,385,
kernel_tests\clip_ops_test.py,424,testClipByGlobalNormNotClipped,assertAllClose,1,414,
kernel_tests\clip_ops_test.py,424,testClipByGlobalNormNotClipped,assertAllClose,2,419,eval
