File_Path,Line_Number,Found_in_Function,Function_Definition_Line_Number,Assert_Statement_Type,Oracle_Argument_ Position,Differential_Function_Line_Number,Differential_Test_Function,Evaluation
test\test_ao_sparse.py,98,test_sparse_qlinear,32,assert_array_almost_equal,1,96,dense_qlinear_dynamic,TODO
test\test_ao_sparse.py,98,test_sparse_qlinear,32,assert_array_almost_equal,2,95,sparse_qlinear_dynamic,n
test\test_ao_sparse.py,103,test_sparse_qlinear,32,assert_array_almost_equal,1,101,dense_qlinear,TODO
test\test_ao_sparse.py,103,test_sparse_qlinear,32,assert_array_almost_equal,2,100,sparse_qlinear,TODO
test\test_autograd.py,1329,test_set_grad_coroutines_benign_exceptions,1295,assertLess,1,1328,coro.throw,TODO
test\test_autograd.py,1329,test_set_grad_coroutines_benign_exceptions,1295,assertLess,1,1339,coro.throw,TODO
test\test_autograd.py,1340,test_set_grad_coroutines_benign_exceptions,1295,assertLess,1,1328,coro.throw,TODO
test\test_autograd.py,1340,test_set_grad_coroutines_benign_exceptions,1295,assertLess,1,1339,coro.throw,TODO
test\test_autograd.py,2790,test_var_mean_differentiable,2778,allclose,1,2788,UNSUPPORTED Binary Operation,TODO
test\test_autograd.py,2790,test_var_mean_differentiable,2778,allclose,2,2789,UNSUPPORTED Binary Operation,TODO
test\test_cuda.py,179,_test_memory_stats_generator,151,assertLess,1,174,torch.cuda.memory_allocated,TODO
test\test_cuda.py,182,_test_memory_stats_generator,151,assertLessEqual,1,174,torch.cuda.memory_allocated,TODO
test\test_cuda.py,182,_test_memory_stats_generator,151,assertLessEqual,2,175,torch.cuda.max_memory_allocated,TODO
test\test_cuda.py,191,_test_memory_stats_generator,151,assertLessEqual,1,187,torch.cuda.memory_reserved,TODO
test\test_cuda.py,191,_test_memory_stats_generator,151,assertLessEqual,1,198,torch.cuda.memory_reserved,TODO
test\test_cuda.py,191,_test_memory_stats_generator,151,assertLessEqual,2,188,torch.cuda.max_memory_reserved,TODO
test\test_cuda.py,191,_test_memory_stats_generator,151,assertLessEqual,2,199,torch.cuda.max_memory_reserved,TODO
test\test_cuda.py,200,_test_memory_stats_generator,151,assertLessEqual,1,187,torch.cuda.memory_reserved,TODO
test\test_cuda.py,200,_test_memory_stats_generator,151,assertLessEqual,1,198,torch.cuda.memory_reserved,TODO
test\test_cuda.py,201,_test_memory_stats_generator,151,assertLessEqual,1,187,torch.cuda.memory_reserved,TODO
test\test_cuda.py,201,_test_memory_stats_generator,151,assertLessEqual,1,198,torch.cuda.memory_reserved,TODO
test\test_cuda.py,201,_test_memory_stats_generator,151,assertLessEqual,2,188,torch.cuda.max_memory_reserved,TODO
test\test_cuda.py,201,_test_memory_stats_generator,151,assertLessEqual,2,199,torch.cuda.max_memory_reserved,TODO
test\test_fx_experimental.py,809,forward,803,assert_allclose,1,809,UNSUPPORTED Name (named variable or defined function: traced),TODO
test\test_fx_experimental.py,809,forward,803,assert_allclose,2,809,UNSUPPORTED Name (named variable or defined function: normalized),TODO
test\test_fx_experimental.py,822,forward,816,assert_allclose,1,822,UNSUPPORTED Name (named variable or defined function: traced),TODO
test\test_fx_experimental.py,822,forward,816,assert_allclose,2,822,UNSUPPORTED Name (named variable or defined function: normalized),TODO
test\test_jit.py,8685,test_pack_unpack_state,8682,assert_allclose,1,8685,UNSUPPORTED Name (named variable or defined function: sm),TODO
test\test_jit.py,8700,test_pack_unpack_state,8682,assert_allclose,1,8700,UNSUPPORTED Name (named variable or defined function: imported),TODO
test\test_jit.py,8898,forward,8894,assert_allclose,1,8898,UNSUPPORTED Name (named variable or defined function: m),TODO
test\test_jit.py,8900,forward,8894,assert_allclose,1,8900,UNSUPPORTED Name (named variable or defined function: m),TODO
test\test_jit.py,8902,forward,8894,assert_allclose,1,8902,UNSUPPORTED Name (named variable or defined function: m),TODO
test\test_jit_cuda_fuser.py,567,_compare,564,allclose,1,565,numpy,TODO
test\test_jit_cuda_fuser.py,567,_compare,564,allclose,2,566,numpy,TODO
test\test_jit_fuser_te.py,1193,test_masked_fill,1171,assert_allclose,1,1190,fn,TODO
test\test_jit_fuser_te.py,1193,test_masked_fill,1171,assert_allclose,2,1193,UNSUPPORTED Name (named variable or defined function: t),TODO
test\test_jit_fuser_te.py,1294,test_unary_ops,1236,assert_allclose,1,1286,fn,TODO
test\test_jit_fuser_te.py,1294,test_unary_ops,1236,assert_allclose,2,1294,UNSUPPORTED Name (named variable or defined function: t),TODO
test\test_jit_fuser_te.py,1783,test_type_as_cat,1773,assert_allclose,1,1784,UNSUPPORTED Name (named variable or defined function: script),TODO
